job_name,salary,company_name,company_number,company_location,exprience,education
Android,11-22K,西杰信息,20-99人,深圳 福田区 购物公园,3-5年,本科
Android端测试工程师,15-30K,OPPO,10000人以上,深圳 南山区 南油,经验不限,本科
Android应用软件工程师,10-15K,康冠,1000-9999人,深圳 龙岗区 万科,经验不限,本科
Android应用工程师,12-20K,创维光电,1000-9999人,深圳 宝安区 石岩,3-5年,本科
逆向工程师（windows、安卓）,20-40K,道通科技,1000-9999人,深圳,3-5年,大专
Android,8-13K,武汉佰钧成,10000人以上,深圳 南山区 深圳湾,3-5年,本科
Android,9-12K,康道智能,20-99人,深圳 宝安区 西乡,1-3年,大专
Android,10-15K,一盯智能,0-20人,深圳 龙华区 龙华,3-5年,大专
Android开发工程师,20-35K,腾讯,10000人以上,深圳 南山区 科技园,1-3年,本科
Android,8-16K,TCL通讯,1000-9999人,深圳 南山区 新安,1-3年,本科
安卓/andriod,12-24K,软通动力,10000人以上,深圳 龙岗区 坂田,1-3年,本科
高级Android开发工程师,30-40K,腾讯,10000人以上,深圳 南山区 科技园,5-10年,本科
Android手机安全工程师,15-30K,OPPO,10000人以上,深圳 南山区 深圳湾,经验不限,本科
Android,10-18K,小马立行,20-99人,深圳 南山区 科技园,3-5年,本科
Android,8-10K,青榴莲科技,0-20人,深圳 龙华区 民治,1-3年,本科
Android,8-15K,麦格创,0-20人,深圳 南山区 南山中心,3-5年,本科
Android系统应用工程师,15-30K,OPPO,10000人以上,深圳 南山区 深圳湾,1-3年,本科
Android驱动工程师,20-40K,vivo,10000人以上,深圳 福田区 梅林,3-5年,本科
Android通信开发工程师,13-25K,OPPO,10000人以上,深圳 南山区 深圳湾,1-3年,本科
安卓,11-20K,致力达成科技有限公司,100-499人,深圳 福田区 购物公园,3-5年,本科
Android,15-30K,软通动力,10000人以上,深圳 罗湖区 布心,5-10年,大专
安卓系统架构师（安全方向）,20-40K,TCL通讯,1000-9999人,深圳 南山区 新安,3-5年,本科
Android实习,3-8K,乐言科技,20-99人,深圳 南山区 南油,经验不限,本科
Android 开发,12-20K,四方精创,1000-9999人,深圳 南山区 科技园,3-5年,本科
安卓开发工程师,15-25K,ThoughtWorks,1000-9999人,深圳 南山区 科技园,3-5年,本科
安卓系统架构师（功耗方向）,20-40K,TCL通讯,1000-9999人,深圳 南山区 新安,3-5年,本科
Android开发,10-15K,软通动力,10000人以上,深圳 龙岗区 坂田,1-3年,本科
资深Android经理/YX,20-40K,深圳云天励飞,500-999人,深圳 福田区 竹子林,5-10年,本科
安卓开发工程师,15-30K,OPPO,10000人以上,深圳 南山区 深圳湾,经验不限,本科
Android架构师,25-50K,博智林机器人,1000-9999人,深圳 宝安区 西乡,5-10年,本科
